simulator,obstacles,agents,timestep,interval,rate,delay_type,map_seed,agent_seed,value,value_lower,value_upper,execution_time,first_agent_arriving,average_timestep_time,average_timestep_time_lower,average_timestep_time_upper
replan,270,20,1,20,0.2,agent,1,3,44.410000000000004,38.88855984113653,49.93144015886348,8.350269,12.0,0.7471824893141945,0.43384970226916214,1.060515276359227
replan,270,20,1,20,0.2,agent,1,4,40.85,36.39703493786004,45.30296506213996,0.05135684,6.7,0.007762688181818182,0.006743602329735259,0.008781774033901105
replan,270,20,1,20,0.2,agent,1,5,37.39,34.72301999759556,40.056980002404444,0.12515721,10.7,0.011680578863636364,0.008446841449269538,0.01491431627800319
replan,270,20,1,20,0.2,agent,1,6,46.745000000000005,45.06476128932787,48.42523871067214,0.5370579,13.0,0.04131214615384616,0.02541717793083384,0.05720711437685848
replan,270,20,1,20,0.2,agent,1,7,34.394999999999996,29.915603533415542,38.87439646658445,0.18851060000000003,3.7,0.05426365,0.037856560390704536,0.07067073960929546
replan,270,20,1,20,0.2,agent,1,8,34.35,31.54876895956852,37.15123104043148,0.2250489,3.8,0.0281311125,-0.0021835717679654122,0.05844579676796541
replan,270,20,1,20,0.2,agent,1,9,38.705,36.792659366886525,40.61734063311347,0.13940571,5.7,0.022935490333333333,0.013498991938733343,0.03237198872793332
replan,270,20,1,20,0.2,agent,2,0,37.205,33.287864772164454,41.12213522783554,0.9076020999999999,8.5,0.10870332204545455,0.04237886361990567,0.17502778047100342
replan,270,20,1,20,0.2,agent,2,1,33.475,30.2952919750308,36.6547080249692,0.010120546000000001,2.0,0.0050602730000000005,0.004301676915756487,0.005818869084243514
replan,270,20,1,20,0.2,agent,2,2,36.625,34.597156283726335,38.652843716273665,0.58473491,9.0,0.06664342630952381,0.01261884948919563,0.120668003129852
replan,270,20,1,20,0.2,agent,2,3,38.739999999999995,37.13201090873643,40.34798909126356,0.11767952,9.8,0.012414438084415584,0.010437512928157554,0.014391363240673614
replan,270,20,1,20,0.2,agent,2,4,37.184999999999995,32.62129921169662,41.74870078830337,0.00918304,1.6,0.00229576,-0.0011973888792856484,0.005788908879285648
replan,270,20,1,20,0.2,agent,2,5,41.935,39.200530617347894,44.66946938265211,0.08887278000000001,7.1,0.01376915263865546,0.009427793495746063,0.018110511781564857
replan,270,20,1,20,0.2,agent,2,6,49.025000000000006,45.319492273719135,52.73050772628088,4.169314999999999,9.6,0.47893500357142854,0.28500185416576895,0.6728681529770881
replan,270,20,1,20,0.2,agent,2,7,33.66,30.732770962333362,36.58722903766663,0.5768185,5.0,0.12713455999999998,0.0545964997414658,0.19967262025853416
replan,270,20,1,20,0.2,agent,2,8,43.725,39.50048080365312,47.949519196346884,1.9023328,3.4,0.2717618285714286,-0.19669702302681735,0.7402206801696746
replan,270,20,1,20,0.2,agent,2,9,37.31,33.519703337567556,41.10029666243245,0.17706078,11.2,0.01588538699300699,0.011768767075157198,0.02000200691085678
replan,270,20,1,20,0.2,agent,3,0,41.60000000000001,37.69421971447794,45.50578028552208,0.055949879999999994,7.1,0.00789423178030303,0.006905460625839387,0.008883002934766675
replan,270,20,1,20,0.2,agent,3,1,40.879999999999995,37.14819481004724,44.611805189952754,0.848465,5.6,0.16154440999999997,0.0679663637217597,0.25512245627824026
replan,270,20,1,20,0.2,agent,3,2,38.42999999999999,36.66704873944944,40.192951260550544,0.18208913,8.5,0.02215281023809524,0.013889175074819411,0.03041644540137107
replan,270,20,1,20,0.2,agent,3,3,43.19,40.08573015750924,46.294269842490756,0.533272,14.2,0.03723580880844645,0.026217872967118305,0.048253744649774596
replan,270,20,1,20,0.2,agent,3,4,42.665,36.831196083827926,48.49880391617207,0.18652765,4.8,0.046490583333333335,0.02776283325829965,0.06521833340836702
replan,270,20,1,20,0.2,agent,3,5,44.324999999999996,41.43941924364182,47.21058075635817,1.2131665999999999,10.0,0.12131666,0.06792013291643188,0.17471318708356814
replan,270,20,1,20,0.2,agent,3,6,45.540000000000006,43.348131705560334,47.73186829443968,0.09906491,7.0,0.014152129999999999,0.011153870089101606,0.01715038991089839
replan,270,20,1,20,0.2,agent,3,7,31.74,29.637099436965933,33.842900563034064,0.012052657999999999,2.2,0.005337819,0.004639866817760866,0.006035771182239133
replan,270,20,1,20,0.2,agent,3,8,41.34,36.29497814009285,46.385021859907155,0.03502147,5.0,0.007004294000000001,0.006006056672025705,0.008002531327974297
replan,270,20,1,20,0.2,agent,3,9,44.94500000000001,39.70983279313157,50.18016720686845,0.757724,9.9,0.06357792405228758,0.022462586542581764,0.1046932615619934
replan,270,20,1,20,0.2,agent,4,0,46.14,42.423554297300804,49.8564457026992,0.1842222,3.4,0.04815559047619048,0.035030358233502194,0.06128082271887877
replan,270,20,1,20,0.2,agent,4,1,78.05,,,0.665126,13.0,0.05116353846153846,,
replan,270,20,1,20,0.2,agent,4,2,42.575,38.262530621320366,46.88746937867964,0.9504603999999999,3.4,0.2009126444444444,0.12000068533399574,0.281824603554893
replan,270,20,1,20,0.2,agent,4,3,37.30499999999999,34.95963947441263,39.65036052558735,0.18836139999999998,7.4,0.02592584155844156,0.020641501240451297,0.03121018187643182
replan,270,20,1,20,0.2,agent,4,4,44.3,41.18899697087349,47.411003029126505,0.2045121,4.0,0.05071311666666667,0.040169671834127105,0.06125656149920623
replan,270,20,1,20,0.2,agent,4,5,40.395,36.4540229071067,44.33597709289331,0.8322722,13.3,0.05962630166666667,0.027161040047823985,0.09209156328550935
replan,270,20,1,20,0.2,agent,4,6,47.57,43.527646185771,51.612353814229,0.1984511,2.0,0.09922555,0.09127823631498788,0.10717286368501211
replan,270,20,1,20,0.2,agent,4,7,33.39,30.909534384375455,35.870465615624546,0.04732107,4.8,0.009848686571428572,0.007363486171354371,0.012333886971502773
replan,270,20,1,20,0.2,agent,4,8,44.45,40.901424336622625,47.99857566337738,10.846162,5.4,2.3303042222222223,1.1559110668454993,3.504697377598945
replan,270,20,1,20,0.2,agent,4,9,41.15,,,100.13,7.0,14.304285714285713,,
replan,270,20,1,20,0.2,agent,5,0,37.065000000000005,34.51183106135919,39.61816893864082,0.08858492999999999,3.4,0.02611271,0.022047616858206526,0.030177803141793476
replan,270,20,1,20,0.2,agent,5,1,42.855000000000004,39.048026665336614,46.661973334663394,0.6203341,7.1,0.0870358142857143,0.07849146270899875,0.09558016586242986
replan,270,20,1,20,0.2,agent,5,2,42.92999999999999,39.82575763244931,46.034242367550675,0.21025679999999997,6.0,0.03538471,0.03201017394995186,0.038759246050048136
replan,270,20,1,20,0.2,agent,5,3,42.644999999999996,38.83515264367955,46.45484735632044,1.1392124000000001,13.1,0.08681443333333333,0.05656384748172552,0.11706501918494114
replan,270,20,1,20,0.2,agent,5,4,38.07,35.72307932480669,40.41692067519331,0.1096961,2.4,0.0137120125,-0.007107267799438667,0.034531292799438666
replan,270,20,1,20,0.2,agent,5,5,49.010000000000005,42.426237373800916,55.593762626199094,0.5423993,10.4,0.05276444188034187,0.039069132455176646,0.0664597513055071
replan,270,20,1,20,0.2,agent,5,6,48.8,42.531334331196696,55.0686656688033,2.1453202,7.0,0.3064743142857143,0.0860437940758379,0.5269048344955907
replan,270,20,1,20,0.2,agent,5,7,40.805,36.6186694919074,44.9913305080926,0.27179159999999997,4.3,0.06331917499999999,0.05778854719088693,0.06884980280911306
replan,270,20,1,20,0.2,agent,5,8,40.675000000000004,37.13074321148764,44.21925678851237,1.3396549,5.2,0.24428425000000004,0.18060179601523282,0.3079667039847672
replan,270,20,1,20,0.2,agent,5,9,40.305,36.94783843252761,43.66216156747239,0.3599735,4.4,0.0759535,0.046072576393985654,0.10583442360601433
replan,270,20,1,20,0.2,agent,6,0,35.975,33.884883619488896,38.06511638051111,0.9903033000000001,5.6,0.18491347142857142,0.06303635814544123,0.3067905847117016
replan,270,20,1,20,0.2,agent,6,1,52.05833333333333,44.35977928827118,59.75688737839548,23.700466666666667,3.8333333333333335,6.594773611111111,4.573177763940118,8.616369458282104
replan,270,20,1,20,0.2,agent,6,2,50.54,47.60263927703887,53.47736072296113,0.18529879999999999,6.8,0.02763793333333333,0.019742005515485127,0.03553386115118153
replan,270,20,1,20,0.2,agent,6,4,48.995000000000005,46.136482477299566,51.85351752270044,0.18827750000000001,6.2,0.0306059125,0.0235887779045708,0.0376230470954292
replan,270,20,1,20,0.2,agent,6,5,57.915000000000006,51.893735871728204,63.93626412827181,0.8863979000000001,8.6,0.10061554761904763,0.08778439655269156,0.1134466986854037
replan,270,20,1,20,0.2,agent,6,6,46.74444444444444,42.4960127677823,50.99287612110658,0.142512,8.444444444444445,0.016881777777777777,0.013197609684634928,0.020565945870920626
