simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,20,1,10,0.3,agent,81.36020408163266,1.5575926702040817,heuristic,proposed,0.9622178948979593,6.523469387755102,6.516326530612245,36.128571428571426,126.90612244897959,7.081632653061225,0.6990176893345135,0.30098231066548653,0,0.13640195441556063,0.1326370153983913,0.13645760181621555,90.0
default,20,1,10,0.3,agent,86.26428571428572,0.0002747653693877551,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.1,agent,63.734693877551024,1.1627846178571428,heuristic,proposed,0.7959783192857144,5.514285714285714,5.514285714285714,38.72857142857143,109.12040816326531,5.628571428571429,0.7856667643575298,0.21433323564247023,0,0.13183446680054423,0.13033533226093952,0.13183446680054423,90.0
default,20,1,20,0.1,agent,69.5265306122449,0.0002357863193877551,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.2,agent,79.78571428571429,1.3784551879591835,heuristic,proposed,0.8660654057142857,5.938775510204081,5.936734693877551,37.23367346938775,116.5530612244898,6.183673469387755,0.679886433693688,0.3201135663063121,0,0.13431219120218232,0.1324971244330748,0.13432520050247387,90.0
default,20,1,20,0.2,agent,87.40612244897959,0.0002524463479591837,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.3,agent,105.85918367346939,1.6814926746938776,heuristic,proposed,0.9596293740816326,6.4459183673469385,6.435714285714286,35.47959183673469,125.26428571428572,6.894897959183673,0.5949025404087098,0.40509745959129023,0,0.13761735102983105,0.13435881447950535,0.13767325641881453,90.0
default,20,1,20,0.3,agent,118.2673469387755,0.00027568334081632653,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,20,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.1,agent,74.46428571428571,1.1730114886734693,heuristic,proposed,0.7953212090816326,5.514285714285714,5.514285714285714,38.72857142857143,109.12040816326531,5.628571428571429,0.7500757300440242,0.24992426995597591,0,0.13184514780103818,0.13035739027396978,0.13184514780103818,90.0
default,20,1,30,0.1,agent,81.90306122448979,0.00023955309489795916,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.2,agent,103.74795918367347,1.420175705510204,heuristic,proposed,0.868319615,5.938775510204081,5.936734693877551,37.23367346938775,116.5530612244898,6.183673469387755,0.6098801969383363,0.3901198030616637,0,0.13442457749023104,0.13260735843623492,0.13443799911802498,90.0
default,20,1,30,0.2,agent,117.35306122448979,0.0002665575918367347,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.3,agent,133.35816326530613,1.7491526793877552,heuristic,proposed,0.9581772020408164,6.4459183673469385,6.435714285714286,35.47959183673469,125.26428571428572,6.894897959183673,0.5228098441851534,0.4771901558148466,0,0.13724266366628746,0.13394320265436604,0.1372988004561297,90.0
default,20,1,30,0.3,agent,153.27448979591836,0.00029084088163265306,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,30,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,10,0.1,agent,46.195,0.06128591949,heuristic,proposed,0.042065523508,6.422,6.069,14.633,63.787,6.234,0.9216427510070104,0.07835724899298961,0,0.006727143638186149,inf,inf,180.0
default,10,1,10,0.1,agent,46.96,0.000131372771,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.2,agent,58.773,0.06752927736,heuristic,proposed,0.045485689576,7.372,6.718,14.899,72.522,7.216,0.8706565888536415,0.1293434111463584,0,0.006416432335549533,inf,inf,180.0
default,10,1,10,0.2,agent,59.748,0.00014099493800000002,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.3,agent,68.987,0.07532561813000001,heuristic,proposed,0.04877522344000001,8.092,7.096,14.621,79.011,7.825,0.840492891394819,0.15950710860518091,0,0.00628784618182731,inf,inf,180.0
default,10,1,10,0.3,agent,71.415,0.00015100635400000002,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,10,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.1,agent,53.233,0.06111133178,heuristic,proposed,0.041402764507,6.408,6.057,14.597,63.58,6.216,0.9028400235338664,0.09715997646613367,0,0.0066392353997494595,inf,inf,180.0
default,10,1,20,0.1,agent,55.241,0.000124810463,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.2,agent,72.377,0.07024622997,heuristic,proposed,0.045252262779000005,7.333,6.675,14.797,71.91,7.13,0.816377033886004,0.18362296611399606,0,0.006405838171360629,inf,inf,180.0
default,10,1,20,0.2,agent,76.083,0.00013823608399999999,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.3,agent,86.853,0.08004672948,heuristic,proposed,0.048737753638,8.066,7.047,14.48,78.364,7.789,0.7699180007093849,0.23008199929061515,0,0.006267332377322117,inf,inf,180.0
default,10,1,20,0.3,agent,92.787,0.00014474798799999998,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,20,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.1,agent,62.388,0.06217899598,heuristic,proposed,0.041271109413999994,6.408,6.057,14.597,63.579,6.216,0.8864801793467001,0.11351982065330003,0,0.006626668945995478,inf,inf,180.0
default,10,1,30,0.1,agent,65.757,0.000124392806,heuristic,proposed,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,180.0
online,10,1,30,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,180.0
