simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,obstacles
default,10,5,0,0.2,edge,1.136,0.00023606188799999998,heuristic,proposed,,,,,,,,,,180.0
online,10,10,0,0.1,edge,3.864,0.025870558159999998,heuristic,proposed,0.018293280960000005,6.984,6.736,19.472,69.776,6.736,,,,180.0
default,10,10,0,0.1,edge,3.824,0.00019982883999999996,heuristic,proposed,,,,,,,,,,180.0
online,10,10,0,0.2,edge,2.616,0.025859601119999995,heuristic,proposed,0.019796232159999996,7.024,8.216,20.88,84.728,9.688,,,,180.0
default,10,10,0,0.2,edge,2.616,0.000214485736,heuristic,proposed,,,,,,,,,,180.0
online,20,1,0,0.1,edge,2.7523809523809524,1.8688378285714289,heuristic,proposed,0.9281436866666667,5.723809523809524,11.790476190476191,48.44761904761905,328.95238095238096,25.114285714285714,,,,180.0
default,20,1,0,0.1,edge,2.3714285714285714,0.00041379531428571427,heuristic,proposed,,,,,,,,,,180.0
online,20,1,0,0.2,edge,0.7904761904761904,1.48286099047619,heuristic,proposed,1.2325765742857142,2.3047619047619046,23.504761904761907,48.2952380952381,1884.0761904761905,39.72380952380952,,,,180.0
default,20,1,0,0.2,edge,0.7428571428571429,0.00043298485714285715,heuristic,proposed,,,,,,,,,,180.0
online,20,5,0,0.1,edge,4.370689655172414,1.4127984362068966,heuristic,proposed,0.605839947413793,5.396551724137931,5.474137931034483,44.81896551724138,135.6206896551724,5.543103448275862,,,,180.0
default,20,5,0,0.1,edge,4.129310344827586,0.00040076447413793097,heuristic,proposed,,,,,,,,,,180.0
online,20,5,0,0.2,edge,2.2666666666666666,1.2108560141666667,heuristic,proposed,0.6273331550000001,4.391666666666667,5.725,41.71666666666667,467.1666666666667,5.725,,,,180.0
default,20,5,0,0.2,edge,2.183333333333333,0.00042675021666666664,heuristic,proposed,,,,,,,,,,180.0
online,20,10,0,0.1,edge,7.234782608695652,0.9238259347826085,heuristic,proposed,0.5720173739130435,5.086956521739131,5.086956521739131,47.095652173913045,101.64347826086957,5.086956521739131,,,,180.0
default,20,10,0,0.1,edge,7.069565217391304,0.0003619168,heuristic,proposed,,,,,,,,,,180.0
online,20,10,0,0.2,edge,5.017241379310345,0.9034173310344827,heuristic,proposed,0.5786522293103448,5.155172413793103,5.155172413793103,46.83620689655172,102.92241379310344,5.155172413793103,,,,180.0
default,20,10,0,0.2,edge,4.948275862068965,0.0003797410689655172,heuristic,proposed,,,,,,,,,,180.0
online,10,1,0,0.1,edge,1.0093457943925233,0.36962002878504674,heuristic,proposed,0.28609717859813083,5.785046728971962,38.08411214953271,58.09345794392523,725.5794392523364,70.5233644859813,,,,270.0
default,10,1,0,0.1,edge,0.9813084112149533,0.00022565133644859817,heuristic,proposed,,,,,,,,,,270.0
online,10,1,0,0.2,edge,0.3130434782608696,0.29904844,heuristic,proposed,0.27884399304347823,2.0608695652173914,27.53913043478261,38.69565217391305,1340.8086956521738,47.4,,,,270.0
default,10,1,0,0.2,edge,0.3130434782608696,0.0002337995391304348,heuristic,proposed,,,,,,,,,,270.0
online,10,5,0,0.1,edge,1.5981308411214954,0.3276483325233645,heuristic,proposed,0.2320281846728972,8.429906542056075,21.317757009345794,53.242990654205606,445.67289719626166,39.77570093457944,,,,270.0
default,10,5,0,0.1,edge,1.4766355140186915,0.0002280868130841121,heuristic,proposed,,,,,,,,,,270.0
online,10,5,0,0.2,edge,0.8468468468468469,0.26482990603603607,heuristic,proposed,0.20901403684684688,3.954954954954955,20.71171171171171,43.288288288288285,871.9099099099099,32.63963963963964,,,,270.0
default,10,5,0,0.2,edge,0.8198198198198198,0.00023971712612612617,heuristic,proposed,,,,,,,,,,270.0
online,10,10,0,0.1,edge,2.5533980582524274,0.2387557340776699,heuristic,proposed,0.17082727582524276,9.58252427184466,10.281553398058252,42.689320388349515,211.09708737864077,10.45631067961165,,,,270.0
default,10,10,0,0.1,edge,2.4854368932038833,0.00021857485436893202,heuristic,proposed,,,,,,,,,,270.0
online,10,10,0,0.2,edge,1.4622641509433962,0.22547558933962264,heuristic,proposed,0.18387970047169816,6.566037735849057,14.981132075471699,47.867924528301884,488.1698113207547,23.650943396226417,,,,270.0
default,10,10,0,0.2,edge,1.4622641509433962,0.00023556713207547174,heuristic,proposed,,,,,,,,,,270.0
online,20,1,0,0.1,edge,2.0,9.360114014285713,heuristic,proposed,4.8426276,5.485714285714286,24.47142857142857,90.47142857142858,658.5,74.45714285714286,,,,270.0
default,20,1,0,0.1,edge,1.9428571428571428,0.00039749831428571424,heuristic,proposed,,,,,,,,,,270.0
online,20,1,0,0.2,edge,0.7733333333333333,6.771913426666667,heuristic,proposed,5.176720453333334,3.1466666666666665,23.586666666666666,61.626666666666665,1688.88,44.92,,,,270.0
default,20,1,0,0.2,edge,0.7733333333333333,0.0004233875733333333,heuristic,proposed,,,,,,,,,,270.0
online,20,5,0,0.1,edge,3.391304347826087,6.927010043478261,heuristic,proposed,2.6383259565217396,5.971014492753623,11.73913043478261,73.3768115942029,196.84057971014494,17.47826086956522,,,,270.0
default,20,5,0,0.1,edge,3.2028985507246377,0.0003848072608695653,heuristic,proposed,,,,,,,,,,270.0
online,20,5,0,0.2,edge,1.9589041095890412,5.846625821917809,heuristic,proposed,3.3206352465753426,5.232876712328767,15.068493150684931,76.61643835616438,590.054794520548,27.91780821917808,,,,270.0
default,20,5,0,0.2,edge,1.9589041095890412,0.0003806047123287672,heuristic,proposed,,,,,,,,,,270.0
online,20,10,0,0.1,edge,5.5,5.0643058684210525,heuristic,proposed,2.290839447368421,6.0,6.0,73.35526315789474,119.63157894736842,6.0,,,,270.0
default,20,10,0,0.1,edge,5.302631578947368,0.00033268661842105265,heuristic,proposed,,,,,,,,,,270.0
online,20,10,0,0.2,edge,3.7435897435897436,4.759357012820513,heuristic,proposed,2.431158615384615,5.910256410256411,8.461538461538462,78.41025641025641,156.92307692307693,15.628205128205128,,,,270.0
default,20,10,0,0.2,edge,3.717948717948718,0.0003286338461538461,heuristic,proposed,,,,,,,,,,270.0
