timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points
continuous,online_remove_redundant,0,10,2,dense,0,1,0.2,agent,382.94885800000003,204.80186799999998,0.0194465796,4.802967318792249e-05,heuristic,proposed,0.010261328799999997,45.3729677,0,0,0,0,0,0,0,0.0002270595628787045,0,0,0,0,0,0,377.27209759508,388.62561840492003,201.67918675797972,207.92454924202025,0.00020934246206605938,0.00024477666369134964,4.489697887778496e-05,5.116236749806002e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,1,0.3,agent,438.366612,234.52083199999998,0.019547569000000004,4.216183017760351e-05,heuristic,proposed,0.0103100824,51.746239,0,0,0,0,0,0,0,0.00020045005585063832,0,0,0,0,0,0,431.85806085862,444.87516314137997,230.94606125037615,238.09560274962382,0.00018435102497276571,0.00021654908672851092,3.944444132021962e-05,4.487921903498741e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,10,0.1,agent,343.898216,183.56381399999998,0.018997505799999998,5.229734550947337e-05,heuristic,proposed,0.0102559662,40.055054739999996,0,0,0,0,0,0,0,0.0002549726280114202,0,0,0,0,0,0,338.67243293839186,349.1239990616081,180.75087954842814,186.3767484515718,0.0002354413950435538,0.0002745038609792866,4.8932521198927745e-05,5.5662169820019e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,10,0.2,agent,393.76108600000003,208.270924,0.0196430772,4.716029669143515e-05,heuristic,proposed,0.0105176168,44.84535911999999,0,0,0,0,0,0,0,0.00024188969461098582,0,0,0,0,0,0,387.62955300277025,399.8926189972298,205.0652093174829,211.47663868251712,0.00022225518937322867,0.000261524199848743,4.4117081403209366e-05,5.020351197966093e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,10,0.3,agent,455.22769,239.618664,0.019864819399999997,4.108452957269878e-05,heuristic,proposed,0.0108884938,51.218924619999996,0,0,0,0,0,0,0,0.00022043737348873406,0,0,0,0,0,0,447.95833740559647,462.4970425944035,235.90316827975838,243.33415972024162,0.0002034584612871919,0.0002374162856902762,3.8435546124093926e-05,4.373351302130363e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,20,0.1,agent,350.058444,185.129778,0.0187813966,5.086702702486825e-05,heuristic,proposed,0.010222323799999999,40.05503474,0,0,0,0,0,0,0,0.00025482359911906593,0,0,0,0,0,0,344.5414656972262,355.5754223027738,182.22372259718333,188.03583340281665,0.0002351911708450421,0.00027445602739308977,4.753933464643989e-05,5.419471940329661e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,20,0.2,agent,406.62099199999994,211.37352600000003,0.019761764600000002,4.619956513627257e-05,heuristic,proposed,0.010480289600000001,44.645465519999995,0,0,0,0,0,0,0,0.00024147934661834471,0,0,0,0,0,0,399.81479680712494,413.42718719287495,207.99027807661358,214.75677392338648,0.00022159108004242065,0.0002613676131942688,4.3076039636422636e-05,4.932309063612251e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,20,0.3,agent,478.49597600000004,246.16672200000002,0.019349706400000003,3.8332812691780474e-05,heuristic,proposed,0.0101407754,49.749556019999986,0,0,0,0,0,0,0,0.00020629006274158973,0,0,0,0,0,0,470.6682746073087,486.32367739269137,242.26882702081735,250.0646169791827,0.00019013992099228897,0.0002224402044908905,3.58182588118108e-05,4.084736657175015e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,super-dense,0,1,0.1,agent,299.291554,162.034012,0.0637435736,0.00020656128272960445,heuristic,proposed,0.0447030984,44.04921568,0,0,0,0,0,0,0,0.0009791497132982975,0,0,0,0,0,0,295.8171720844079,302.76593591559214,160.04854758224658,164.0194764177534,0.0009104655811217541,0.001047833845474841,0.00019176952046777128,0.0002213530449914376,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,super-dense,0,1,0.2,agent,337.89680400000003,182.577902,0.0640481006,0.00018363106501700344,heuristic,proposed,0.044774191799999995,49.53272962,0,0,0,0,0,0,0,0.0008745225044189692,0,0,0,0,0,0,333.9429488033252,341.8506591966749,180.34481250010998,184.81099149989,0.0008132699937436722,0.0009357750150942662,0.00017052511875995823,0.00019673701127404864,0,0,0,0,500
